,X,obs,pred
3631,i had the opportunity to taste golazo prior to launch and i must say that the  mad scientists  behind the drink have listened to customer feedback and produced a great product   golazo is not like other sports or energy drinks that taste like chemicals and leave that weird residue on your tongue   there s nothing worse then leaving the pitch and then drinking something way to sweet to quench your thirst   golazo hits the spot every time  super goal   ,1,0
3630,i eat 3 whole tubs of these every day  i think i have a problem  i think i might die soon  you see  my parents were mauled by wild bears when i was a child  so i eat as many gummy bears as i am physically capable of to take revenge upon bears of all kind suitable for my purposes,1,0
3629,no secret hidden label under any of my cans    not sure what is going on there   what i do know is that this is the only formula that my son doesn t spit up   and that is more precious to me than diamonds and pearls  works for us   ,1,0
3628,this lil dang critter be the handiest dang thang yet  i know cuz imma meemaw er 20  iez no evrrhthang  comeh night i be takin her in the showr scruub mahself sho good nuff  soff as pawpaws gums  en given the pawpaw a brek from the bed  wink   wrang er out good  en dry u off goodnuff too  no usin hank  my coondog  poor ol hank dun no wutt teh do  come bed n u ken use her furrah pilow  smell keeps dem dang skeeters away  dun bothrr usin her tah skraatch cuz she too dang soff  come morn i jes grab herr dang lil paw rowt under meh hed n brush meh gums  no moh runnin en waitin fer the dang out shedd poohole  affer brekfast she wash yow dishes too  pawpaw luvs him a dang gud rubdown weh hrr ooooweee  dang gret gret granbabeez mamas bee figtten teh use her fer dem dang gret gret granbabeez oerganec pamprrs  meh nefew son hank jr  meh baby wit meh broh  yewzin hrr asa cooncap  soff as his sissies butt he dun sed  wurth sellin summah dem granbabeez fer  yep  weelll shooot mah natch n call it a woohoo  daggonit ,1,0
3627,our puppy loves these treats  but doesn t want to try to get them out of the kong   p i wouldn t pay this much for them again  since she isn t very enthusiastic about getting them out  our puppy loves these treats  but doesn t want to try to get them out of the kong   p,1,0
3626,strong alcoholic smell and taste that other brands do not havevery light colored shell  not dark or brown like the picture comes in zip lock bag  not vacuum sealed  no foil to protect against sunlight no expiration date  no idea if it is fresh or has been on the shelf for years     not as pictured,1,0
3633,might be short  might be cute  but i m not sure how dark it is  i use cream and sugar  hush  you   so i like stronger coffee flavor than this offered  however  it s a lot better than a lot of the other brands and beans i ve bought recently  might be worth your time  two out of three,1,0
3625,i sent this item in lieu of flowers when my dad was hospitalized   i refuse to pay upwards of  50 for a tiny bouquet in a plastic vase  not gonna happen   he loves dried fruits and nuts  and i figured he would appreciate this a heck of a lot more than looking at a useless  wilting bouquet of flowers on a nightstand  both my mom and dad raved about it   they said it was big  and that the fruit was tasty and fresh  this was a wonderful gift and i would purchase it again  recipients were pleased with this item ,1,0
3644,when i first saw the jacket photo of this book  i was intrigued by the subtitle teaser line  it s morning somewhere    a pensive  philosophical  thought provoking line   so imagine my disappointment when the package arrived  and there was no book anywhere to be found    instead  the box was nearly full of what appeared to be sweet smelling packing flakes after also fruitlessly searching for any instruction manual for the product  i was trying to decide what to do next when my daughter came in  gave me a withering look as only a teenager can  and  indicating the picture on the front of the box  showing the packing flakes in a bowl with milk  suggested i just try eating some to my astonishment  this proved very successful   the flakes had a sweet  nutty taste rather like my grandmother s peanut brittle from when i was a kid   the peanutty taste was not really overpowering  and while they were noticeably sweet  the sweetness was also not excessive   while i like peanuts and peanut butter  peanut flavored items like peanut butter cookies are not my personal favorite   even so  i enjoyed the sweet nuttiness of this stuff enough to have another bowl or two over the next few days  with just as good results   i think anyone who particularly enjoys peanut flavored confections  peanut cookies  peanut candies  would enjoy this product even more than i did i might also mention that i only got to have a total of two or three bowls of the interesting flakes myself  because my wife and kids proceeded to devour them with great enthusiasm  declaring them yummy  it s morning somewhere  better eating than reading,1,0
3646,i bought this when i was strolling through ross and thought i d give it a try since i am trying to be calorie sugar concious   i wasn t expecting much because i have tried several different  sugar free  syrups and they all left that nasty after taste   somehow  jordan s has figured out a way to surpass my expections with this syrup  i wish i was able to buy it locally  but i will be buying these 6 packs in a few different flavors for my morning latte s  thanks jordan  best 0 cal 0 sugar syrup,1,0
3665,my dogs love zuke s hip action treats i don t know if you realized it or not but the individual bags you were selling were cheaper than the three pack  zukes dog treats,1,0
3664,cafe altura organic peruvian dark coffee beans my only question about this coffee is   why does anyone buy any other coffee well  no i do have another  if it is coffee  what should we call the other so called coffees  the daily upper,1,0
3663,i expected that this would be all natural cinnamon oil  as was the clove oil purchased from the same company   the ingredients label said it contains natural   artificial cinnamon flavors   i was disappointed in the artificial flavors  but it did produce satisfactory watermelon pickles then  i found a two pack of the exact same product from the same company at walmart locally for only  2 17 versus the  2 74 for only one dram bottle and felt scrooged   i understand this is because of their  free shipping   but could have paid much less overall  i wish the description had said it contained artificial flavors   and yes  i have heard that they are identical in chemical composition and are perfectly safe   i would just prefer all natural for the price  not all natural as expected,1,0
3662,two years ago i was diagnosed with a mild peanut allergy and told to avoid all peanuts  unfortunately i happened to love peanut butter sandwiches and peanut butter cups so i was thrilled when i found this  i haven t had a peanut in two years and this stuff is incredible  i had to keep myself from eating half the jar when i first got it for the reviewers who said that this doesn t taste like peanut butter  i d say the only difference i can detect is a consistency that s slightly more chalky than what i remember peanut butter having  it also maybe has a barely  barely   smoky flavor  but since i have a life threatening tree nut allergy and almond butter isn t an option for me  i ll stick with this  home made  peanut  butter cups  here i come  i ve died and gone to heaven ,1,0
3661,half the price of starbucks peets coffee and tastes just as good i drink a ton of coffee   use a french press and always fresh grind   i m always on the lookout for a good coffee that is not expensive  starbucks  etc  are way too high priced   i ran across this coffee at costco one day  and have been buying it ever since  about 2 years  there is some variability month to month  i go through a bag a month  and one month the coffee was not as oily   and one month it was so oily it cloged my grinder   the taste has not varied too much  and i have never been dissapointed with the taste for the price   if i had the money to waste   peets major dickasons is a bit better than this coffee this coffee is cheaper at costco  but if you add local sales tax  it s roughly the same as amazon s price   i have not tried ordering this product from amazon as i buy it from costco near my house the bag this coffee comes in is very heavy clear plastic and ok for reseal  however i prefer to store it in an air tight plastic container to keep the aroma fresher longer aroma on the coffee is very good  can t beat the taste for the price ,1,0
3659,we ordered these seeds because my kids like the seedless cucumbers better than ones that have seeds  the cucumber plants didn t disappoint and grew very well  we got a lot of fruit from them and they were very tasty  so much better than buying expensive seedless cucumbers from the store every week  very good cucumbers,1,0
3658,i ve been researching going gluten free  or at the very least drastically cutting dense carbs from my diet like breads and certain pastas  no white rice or bread   and paying more attention to blood sugar inducing foods  i ve found i m happiest and healthiest when i do this  i don t want to cut things out like oatmeal  i love oatmeal  it has many great benefits  isn t going to max out your blood sugar  and improves lipid numbers  but the majority of the store brands are loaded with various so called  healthy grains  along with the oats  sugar   sugar substitutes  and ingredients that have to be googled in order to understand what they are exactly  i don t want emulsifiers  fillers  preservatives  and binders  i just want some tasty oatmeal for breakfast  this isn t bad for gluten free and i can recognize everything listed on the ingredient panel  again  the flavors are not as intense as other brands  your  taster  has to adjust when you are recent to cutting down on sodium  sugars  etc  eventually  you won t notice that the sweet in this isn t ridiculously cloyingly tart  and appreciate the subtlety of the flavors  gluten free curious,1,0
3645,idk what everyone is freaking out about  it tastes like slightly salty smart water  the color is a little unnerving at first  looks like rust water  a  friend of  nutrition major  likes the idea of it so i can t be that bad   maybe taste,1,0
3657,a friend brought back from cruise  was upset because it was not the one i asked for but got over it once i tasted it  then ordered it fro amazon  ate it both times over 2 days  soooo good,1,0
3654,they are treats for dogs  what more can you say  either the dog eats them or it don t  mine does  so there  dog treats  duh ,1,0
3653,absolutely love this stuff  helps with my lack of appetite whats with the price hike recently  last order i got 6 cans for less then your charging for 3 now  and that was in june 2012    whats with the price hike ,1,0
3652,i love this gum  it s one of the few  or only  non xylitol or similar sugar free ingredient based gums  that stuff gives me a stomach ache  and worse  so i can t chew anything that has it luckily there s still freshen up  this gum is still made with real sugar and is pretty close to the gum you may remember having as a kid   finding an ingredient listings online has proven difficult  but not impossible the following is off my pack ingredients  sugar  glucose syrup  gum base  invert sugar   some packs contain glycerin  my current case does not list it   artificial and natural flavoring  soy lecithin  red 40 lake and bht  to maintain freshness   contains sulfites made in brazil  distr  by cadbury brasil industria      cadbury adams usa llc  that s an abbreviated version of the distribution companies  but i like to know where things come from before i buy them  maybe you do too  i hope this flavor  and brand    will always be available  i ve also bought the spearmint which is very tasty but not bubble gum  the kid in me can t help blowing bubbles sometimes and that s not possible with the other flavors  actual sugar,1,0
3651,i ordered a package of 6 cans previously  and that order was completed as i hoped  so when i bought this order of 12 cans  i was expecting more of the same  however  of the 12 cans  6 were dented  and 4 of them badly  it doesn t appear the seals were broken and the cans aren t swollen  etc  so the bread is fine  but based on the other reviews  anyone about to buy this product needs to be aware of the condition it might be in when you receive it as for the bread itself  it is delicious  it s very dense and fairly sweet  it goes well toasted with butter or with peanut butter  to my taste buds  anyway   this stuff isn t available in stores here in texas to my knowledge  so i m glad i can buy it on amazon  good bread  poor packaging handling,1,0
3650,the only anchovies i could buy in my area were canned and could not be reused after opening  i had a left over bottle of bellino and found them on amazon   unfortunately  i ordered four bottles and one leaked in the box   i contacted the seller and they more than willingly refunded me   thank you for such speedy service and for such a great solution to my search   a satisfied customer  couldn t find any bottled anchovies in my area    sooo,1,0
3649,i love the taste and ease of preparation of this soup   it is a one dish meal for me and my husband   i tried to order another 6 pack box to send to my sister for her 81st birthday  but was unable to have it shipped directly to her in another state   maybe there is a way  but could not get my message across   the package is coming to me and i will mail it on to her   a late birthday gift  bear creek creamy potato soup,1,0
3648,this water is based on the premise that many people experience an acid alkaline imbalance   in general  the western diet is more acid producing  and there are issues that arise from a chronically acidic condition   an approach to being overly acidic is to counter the acidity with alkaline foods there is one school of thought that says alkaline water can t really change the ph of your cells because your body automatically maintains its own ph balance   but maintaining a proper ph balance is difficult if you re constantly introducing acidic foods and drinks water can be either naturally alkaline or naturally acidic   chemically pure water is one oxygen and two hydrogen atoms connected by covalent bonds   in nature  water dissolves many different substances which give it various tastes  odors and ph values   pure water has a ph between 6 81 and 7 depending on the temperature   water with a ph less than 7 is said to be acidic and water with a ph greater than 7 is basic or alkaline a ph of 9 5 puts essentia water somewhere between baking soda and milk of magnesia   so this water is not just mildly alkaline   it is quite alkaline   the taste is really quite pure   i couldn t detect any off taste or odors   the water just tasted clean and pure in my opinion  drinking a bottle or even a case of this water won t magically restore your body to an ideal ph level   but it will induce your body to potentially counter an acidic state  particularly if you tend to be overly acidic if you wanted to make your own alkaline water at home  you could do it by getting a good quality distilled water and mixing in a half teaspoon of baking soda   this will give you water in the 8 5 to 9 0 range   but i guess the benefit of drinking essentia is that it s is purified through micro filtration  uv lighting and reverse osmosis which rids it of chlorine and fluoride   they also add minerals back in and restructure the water through ionic separation   what is ionic separation   in this case it is a process that creates smaller molecular clusters which support more rapid hydration   but understand that water molecules don t organize unless there is an impurity in the water  hence my suggestion of making your own with distilled water  my verdict   if you suspect or know you are overly acidic  essentia could help make your body more alkaline  provided you are not negating the effects by continuing to consume mostly acidic items    if convenience is what you re after  this water is going to be consistent and it will have a great taste  convenient source of alkaline water,1,0
3656,the product is good as are most all of torani flavors  just didn t do what i had hoped it would   a creamer by nestle had been discontinued and i had hoped this would be a good substitute along with real cream  didn t work  but the syrup was good   good as are all torani products,1,0
3666,i had no illusions of it tasting fantastic cuz come on  we re talking about dried grass that s powdered  but what i didn t expect was it tasting like tobacco  gross  i hold my breath   drink it as fast as i can every morning  i only mix it with water since i don t want the extra calories or sugar from juice i ve been gagging this stuff down for 30 days now   i do notice the benefits  i m not on the  no carb diet  but i do try to stay away from carbs  starches   sugar   so the only thing i ve changed is adding this wheatgrass  here are the benefits  thicker hair shiny hair  i ve always had shiny hair but it seemed extra shiny  more energy skin has cleared up a bit most importantly  i ve been regular  for me  that s truly amazing since i ve been battling stomach issues for the last 12 years  not to be gross but it goes from constipation to kaka rhea    so being regular for 30 days straight is a big deal to me i can t wait to finish this stuff so i can buy the tablets instead  i can pop tablets all day long if it means i don t have to gag down the powdered form every morning  ok  so it tastes gross  but your body will love it,1,0
3623,i buy this at heb for 47 cents a  12ozbottle i see it sold for 2 dollars for an 11 5oz bottle     not cool excellent but watch the price,1,0
3620,i still like the old dove better but this one is ok i like this one better though  http   www amazon com gp product b004l5m0oe ref oh details o04 s00 i01but again  everyone has different opinion   it is okay,1,0
3593,the mixed veggie pack is better  that s the only reason i gave this 4 stars  i m not a fan of edamame but cruncha ma me has made me one  the mixed veggie pack even my kids eat  tastes good,1,0
3591,the bar tastes good  if you re looking for something that s not too sweet  and on that note  you should know that you can probably find a better tasting granola bar  but it probably won t be as healthy for you as this one is it s a good bar that isn t too sweet  and if you can buy them for less than 75 cents per bar  then i d say you made a good purchase  a good  healthy bar that s not very sweet,1,0
3590,my dogs love these  i know the description said how many packages i would get but i ordered something similar from another seller and didn t receive what i thought i was buying  i was very happy to see how many were in this order  i would order them again from this seller  thank you for the bargain  these are so much more expensive in the store  i was surprised by the quantity ,1,0
3589,these noodles tasted and had a similar texture to  normal  noodles   i would recommend cooking for longer than recommended 10 minutes though  schar noodels,1,0
3588,i like hormel chili but this kind is not hot enough for this chili lover   i wish they had this product in the hot version  i would buy it in a heartbeat  just a bit too bland for my tastes   ,1,0
3587,keeps me hyped and energized throughout my workouts   i used it to replace no xplode   no going to the bathroom before workouts     pure energy and focus w o upset stomach  super energy and focus,1,0
3586,this is  as advertised  extra bold in taste  maybe a bit too bold in fact i don t really like bland coffee  i prefer a bolder taste  and this product delivers  in fact  as the french version has it  it may be a bit too  tres intense   there is some harshness to the taste  as my palate experiences this still  i d rather too bold rather than too bland        strong taste,1,0
3595,looks like they changed the picture  hope they don t send me equal now i found this in a local restruant and i like it better than any other productincluding equal  better than equal,1,0
3585,i was surprised i liked these  i am not a big fan of rye bread of any type  but i really liked this  the rye flavor was not too overpowering  i dislike ryes strong flavor    the hard bread cracker holds up well in soup   sandwiches  these tend to be a few cents cheaper at the store than the sourdough ones  not a fan of rye but liked these ,1,0
3581,in the past i have used other yeasts with good success recently i tried a different brand from amazon with terrible results now i have this old time brand which works every time  tried   true,1,0
3580,i recommend that you use as small a portion of the tablet as possible at first  and try to contact that portion with every point on the surface of your tongue  there doesn t seem to be a lack of potency even if you use only 1 3rd or 1 4th of the tablet  but you have to remember to touch it to as much of your tongue as possible before it dissolves  worked perfectly,1,0
3578,i am enjoying this coffee and i plan to continue to buy use it  it is strong but not too strong and is not bitter  the is a good coffie ,1,0
3576,my cats love it   it is a bit overpriced though   and i don t like the epackaging claim that it is made of rice paper   now  that sounds all so nice and eco friendly  but the truth is  it is plastic   perhaps the outer packaging is layered with rice paper for effect   this doesn t change the fact that i am stuck with plastic packaging that is not biodegradable  and possible leaching of chemicals into the product   nonetheless  i concede convenience of plastic packaging and some inevitability of its use  especially in shipping   just  let s not make a misleading claim to give off a wrong impression  a great appetizer,1,0
3575,my wife and i just finished off a bag of these this evening   we also just started eating these this evening   when finished   i told the mrs   it s just two servings though    she responded  two wonty    feelin  kinda gross   lip smackin  good   for the enlarged heart in all of us   maize,1,0
3574,i bought this as a birthday gift for my brother  artificially flavored items normally smell or taste nothing like what it says  and though i m not brave enough to actually taste this concoction  it actually smells just like bacon  nice work  torani  smells like bacon,1,0
3573,i don t use small cans like fancy feast  so i cannot comment on those  however  i like these because they last  i bought them at a pet food store which no longer carries them  probably because they are so expensive except for a lid i bought at least 15 years ago labelled sargeant s  these are the sturdiest  the more flimsy ones always end up getting a crack in them and are not always tight for me  the 4 stars  not 5  is because they seem expensive  however  on amazon  it seems that most of the can covers are more expensive than you would want to pay  it s the s   h that is outrageous  seem pricey  i like them for 5 5  oz or large dog food cans i buy,1,0
3584,is not a phrase to be taken lightly at essentia    the folks at essentia seem to have created an excellent  potable  re vivifying potion out of plain   source independent    i e   water available anywhere  drinking water  by purification by  micro filtration  uv lighting and reverse osmosis  no chlorine or flouride  enhanced with pure minerals  restructured through ionic separation     and infused with electrolytes    calcium  magnesium and potassium   three vital supplements that  as i have found out  have helped me stave off the dreaded leg cramps it really does go down like silk  perhaps because of the added sodium bicarbonate      and in my opinion and experience  there is absolutely no taste whatsoever  of either water or the bottle now the bottle is supposed to be  bpa and phthalate free   and the label says  safe and recyclable plastic     but if that is the case  why the triangle with the number 1 under the base    shouldn t 2  4  or 5 be safer   more appropriate to use   9 5 ph balance is supposed to hydrate better    i have no familiarity with this concept  the price for the 1 5 liter bottle is right  so with continued use of this water  i will be better able to answer that question  better living through science,1,0
3621,my husband wanted to make a dish requiring chinese 5 spice powder  i looked for it at all my local grocery stores  ralph s  whole foods  trader joe s   none of them carried it   i probably could have gone to an asian grocery store   but it was extremely convenient to just buy it here on amazon and at a good price  too   apparently  it is not real chinese five spice powder if it doesn t specifically have   chinese  and  five  in the title on the label  looked for this everywhere   finally found it on amazon,1,0
3597,not sure what i was getting myself into  but i read a lot and decided on these live kefir grains  i followed the seller s instructions and in no time i was making more kefir than my family could drink  after about fifteen batches so far  i am feeling like a pro  i would definitely recommend this product  making my own kefir ,1,0
3599,i didn t know what to expect when i received this bottle of water from amazon  our tap water tastes terrible  so we always drink the generic store bought bottled water which is a cut above tap well  essentia bottled water is gorgeous   to me it tastes like what fresh water from a spring would probably taste like   it is so fresh tasting with absolutely no after taste   i don t know how they do it   the label reads purified water with electolytes  so obviously this is not spring water  but it is a superior bottled water that i would highly recommend   i ll definitely get this again   a clean  fresh  wonderful tasting water  an extraordinary water,1,0
3619,just purchased this product  for half this price at the local walmart  it melts in hand to a thin oil consistency which is great for moisturizing  it had a light coconut smell  but nothing too overpowering  i came on to amazon to see if i could get a better price for buying in bulk and was shocked to see the price almost doubled on here for the 12oz container  do yourself a favor  pay half the price and no shipping and get it local  great product  over priced,1,0
3618,this is the second time that i ve tried thai kitchen noodles and both times it was kind of gross  i really wanted to like them because they re vegetarian  but they just taste off to me  maybe i m getting really old packs or something  maybe they re just too bland for me  yes  i followed the directions and put in all the seasonings  i might try it again with barely any water in it and see if it tastes better                                              update okay  i tried the spring onion again  but this time i boiled the noodles for about 5 minutes  drained all the water  added the oil and seasonings and mixed  it actually tasted pretty good this way  there was no weird off flavor this time  i added some crushed red pepper to make it spicier  i actually enjoyed the noodles today  i would just recommend trying to eat it soon after cooking if you drain the water because the noodles will start to stick together  hope this helps  maybe it s just me ,1,0
3617,this dust kills ants  just like it said it would  it doesn t  however eliminate ants  they don t seem to take it back to their nest  it just kills the ones that come in contact with it  but  it does that very fast and efficiently  kills ants,1,0
3616,i love these but that is a ridiculous price   costco used to sell same thing for  9 95  and still had to break even at least    honest earth all natural creamy mashed potatoes net wt 5 6 lbs  2 54 kg   14 individually sealed 8 serving pouches ,1,0
3615,this is the best almond butter i ve had  and it mixes more easily than other brands i ve tried  however  when i opened the jar after it arrived  the jar was only 3 4 of the way full  the almond butter went to just past the top of the label on the jar   there was at least an inch of empty space  for the cost of this item  it should be a full jar  or the company should pack the almond butter in smaller containers  tastes good but poor packaging,1,0
3614,the puppies enjoy these and they do last longer then most chew treats  i m not sure why parts that use to get thrown away  pig ears etc   are now so expensive  these are less expensive then in the stores so with amazon s free shipping  they re worth a try  bully sticks,1,0
3609,i have been looking everywhere for these cinnamon bears and couldn t find them at any stores   these were my favorite candy as a kid and they did not dissapoint   bought five pounds and the were very fresh  cinnamon bears,1,0
3598,of all the k cups i ve sampled  donut house collection donut house decaf  k cup portion pack for keurig k cup brewers  24 count  emeril s jazzed up decaf coffee  k cup portion pack for keurig brewers 24 count  green mountain coffee decaf breakfast blend   k cup portion pack for keurig k cup brewers  24 count just to name a few   caribou coffee s decaf is by far my favorite bright  bold but not bitter flavor and light texture are hallmark characteristics of caribou coffee and this decaf k cup doesn t disappoint   i ll be so bold as to say that it s as good as  being there  in a caribou coffee shop   if you re a fan of a more starbucks y dark roast  this may not appeal to you   while the caribou coffee s k cup flavor is not nearly as wimpy as green mountain or donut house  it lacks that nearly burnt flavor that often pervades starbucks  darker roasts   if i had to guess  i would say that the primary bean in this blend is kenya   if you like kenyan coffee  this is going to be a winner for you  my favorite decaf k cup   akin to kenyan coffee,1,0
3608,a while back  i tried zevia s cola and was not too impressed   i decided to give the company another go and tried the ginger root beer   i think zevia takes some getting used to  but compared to the cola  this product was not too bad   the initial sips were strange with the flavoring more ginger than root beer   i don t typically use ice with my drinks  but i felt compelled to drink this cold  i think i could drink this as a soda substitute   the flavor isn t phenomenal but it is better than zevia s cola option and it is a good alternative to mainstream aspartame laden soda products  better than my first experience with zevia,1,0
3606,i made a peanut sauce with this and it was very good though not as smooth as with real pb  my beef with it is the lack of basic instructions on how much powder and water to use to make basic peanut butter   there are recipes other website but not specific guidance on the mix you would use if just substituting peanut butter  am i an idiot  maybe    still  if you need 2tbs of peanut butter you will use almost 4 tbs  i have only used it once so did not get good measurements because there was lots of adding more water or powder and also i usually weigh ingredients and as another reviewer pointed out the weight and volume on the label didn t match  this of course affects the calories and if you are counting them this matters to you i read reviews about price and didn t think much of it  it didn t seem that bad for a jar of pb but in a recipe that used 1 2c of pb i used at least 1 3rd of the jar so yeah  kinda pricey    it is what it is and i won t knock a star off but just keep in mind that this does not make a jar of pb which should have been obvious but then maybe i m an idiot  no basic directions,1,0
3605,greetings    i also was smitten by this wonderful tasting dressing  i talked to the produce managers in a couple of local grocery chain stores  and they are going to try and order it in  the price will probably be expensive so that shipping costs are covered  but i think i can manage that  i would suggest that anyone interested in purchasing this dressing do the same as i did  great dressing   ,1,0
3604,found it at whole foods  it doesn t taste much like coffee but it s good in a different way  and definitely has similarities  i was expecting to have to put milk and maybe sugar in it like i do with coffee  not a fan of black  sorry  but i m really liking it plain  might change it up eventually  but on its own it s very good  a unique and interesting flavor  a little burnt  i like burnt  very nice ,1,0
3603,this water does have a very slight difference in taste to  normal  water but by all means if you can get past the color  it s not bad at all i love this water and drink it all the time  have not had anything bad happen yet  i have not been sick in a long time and this water is keeping me healthy if you can t get past the color  don t purchase it  you saw it before you purchased it    why would you buy it if you didn t like the color  some people need to man up  it doesn t taste bad at all  i love it  don t listen to the negativity ,1,0
3602,i got turned on to this coffee when i was in jamaica   i decided to order a bag   it is a very high quality coffee  very very smooth and not bitter at all   like any coffee  the type of sugar and cream you use can make or break it   i don t drink it black    judge me not   with a little turbinado sugar and very little cream  it s great   however  it isn t the strongest coffee so too much cream or sugar will ruin it the price is a little steep and i probably won t be ordering again  at least not for awhile   it is good coffee  but for my money i ll get less expensive beans that are a little less high quality  delicious,1,0
3601,it tastes good for being a coffee substitute  but  after few cups i don t care using it anymore  taste is obviously not as your normal coffee  and there is absolutely no effect  since it s caffeine free  so  i don t see a point drinking this stuff  tastes okay,1,0
